document,TTR,CTTR,K,TARGET,n
text1,0.213080168776371,4.63908364296372,343.828446296,active,948
text2,0.161590524534687,3.92834508324595,638.526000555427,ambiguous,1182
text3,0.403846153846154,2.05921941895093,798.816568047337,cheap,52
text4,0.614035087719298,3.27805034053593,397.045244690674,conventional,57
text5,0.362139917695473,3.99176106231333,642.347880573761,dramatic,243
text6,0.113738019169329,3.18161652404407,982.625116108157,explicit,1565
text7,0.21227621483376,2.96807394038643,2802.11406257154,formal,391
text8,0.218884120171674,2.36252937852161,745.086481607692,human,233
text9,0.063135593220339,2.16877884877994,1081.89816144786,intentional,2360
text10,0.0792227204783259,1.44893136230659,2083.80533603241,international,669
text11,0.730769230769231,2.63482593206984,621.301775147929,intuitive,26
text12,0.3,2.41867732448957,1356.21301775148,mature,130
text13,0.388888888888889,2.60874597374975,627.160493827161,meticulous,90
text14,0.244444444444444,1.15950180872841,4311.11111111111,opposite,45
text15,0.12780269058296,3.30562097719068,444.006515312996,practical,1338
text16,0.45,3.48568501158667,608.333333333333,pragmatic,120
text17,0.0974610974610975,2.40809785908615,1620.32705030248,primary,1221
text18,0.0621067031463748,2.65501615948256,4213.71993839371,public,3655
text19,0.441860465116279,3.54866499627874,394.808004326663,secret,129
text20,0.142857142857143,0.462910049886276,8231.2925170068,settled,21
text21,0.284644194756554,3.28884165030016,574.983517793769,single,267
text22,0.356382978723404,3.45526117496696,771.276595744681,spontaneous,188
text23,0.0324980422866092,2.59679490419852,966.225780003912,substantial,12770
text24,0.8,1.78885438199983,1400,tricky,10
text25,0.5,2.12132034355964,925.925925925926,uncommon,36
text26,0.4,1.89736659610103,962.962962962963,unspecific,45
