document,TTR,CTTR,K,ADJ1,n
text463,0.0818858560794045,2.32475084713194,2030.47552783405,clear,334
text1151,0.0549132947976879,1.25101115172252,2310.50523275456,fair,138
text535,0.265060240963855,2.95753071865826,966.274737504234,complete,136
text847,0.310924369747899,3.39178443900438,620.01271096674,direct,136
text69,0.136792452830189,1.99172817725599,1622.79725881096,adequate,134
text193,0.357487922705314,3.63690158515413,622.885014819482,appropriate,131
text201,0.0855978260869565,1.64205101069946,5610.04696361059,arbitrary,123
text986,0.295918367346939,2.92944237920141,782.486463973344,effective,113
text57,0.297872340425532,2.88797948952462,510.977818017202,actual,111
text833,0.434782608695652,3.61157559257308,716.236084856123,different,106
text1467,0.504132231404959,3.92122851385267,293.012772351615,important,106
text43,0.26984126984127,2.62315694935556,1042.24405811707,accurate,102
text537,0.51304347826087,3.89034479303514,331.947069943289,complex,102
text1191,0.256410256410256,2.53184841770917,973.833004602235,final,102
text2059,0.0642978003384095,1.10528648160999,2838.2019062016,one,99
text75,0.172549019607843,1.94835274818821,1707.80469050365,administrative,98
text835,0.651376146788991,4.80872677649803,228.095278175238,difficult,98
text1199,0.0726392251815981,1.04383350095883,2723.29673035546,first,94
text1157,0.142857142857143,1.79284291400159,2621.81909800957,false,93
text513,0.455223880597015,3.72616805286731,678.324793940744,common,89
text598,0.443548387096774,3.49250349250524,574.921956295525,consistent,86
text714,0.495495495495495,3.69135830367713,606.281957633309,dangerous,86
text360,0.514563106796116,3.69268497574557,509.944386841361,broad,83
text395,0.445454545454545,3.30357932606989,692.561983471074,careful,83
text989,0.272058823529412,2.24345453158608,886.678200692042,efficient,82
text1204,0.121546961325967,1.1562943287008,1427.00161777723,five,81
text975,0.210526315789474,1.94665705356915,1487.97920727745,economic,80
text1971,0.388429752066116,3.02127442870616,833.959429000751,new,79
text2085,0.709302325581395,4.65120639514444,229.853975121687,other,77
text606,0.130769230769231,1.49099863282195,4297.33727810651,constitutional,76
text1957,0.099290780141844,1.17901268949313,2272.52150294251,necessary,73
text541,0.540229885057471,3.56306080482085,445.237151539173,comprehensive,72
text813,0.345132743362832,2.59424141042718,1106.58626360717,detailed,72
text906,0.0710659898477157,0.997458699830735,5794.14568785591,distinct,69
text1294,0.41,2.89913780286484,998,general,69
text1537,0.282051282051282,2.49100947511811,2649.57264957265,independent,68
text1861,0.205128205128205,1.56892908110547,970.852509314048,medical,68
text1475,0.420454545454545,2.78897993734431,839.359504132231,improper,65
text1770,0.352380952380952,2.55324256956671,1125.62358276644,legitimate,65
text528,0.465116279069767,3.04997140665209,419.14548404543,competent,63
text768,0.380952380952381,2.76026223736942,947.845804988662,deliberate,63
text24,0.481012658227848,3.02311767986777,700.208299951931,absolute,62
text1432,0.423076923076923,2.64211453778394,654.174884944116,illegal,62
text1446,0.365591397849462,2.49300095536301,1069.48780205804,immediate,62
text1766,0.5,3,466.820987654321,legal,62
text627,0.361904761904762,2.62224912550095,1312.4716553288,continuous,61
text1980,0.614457831325301,3.9583676811023,419.509362752214,non,61
text760,0.0695067264573991,1.03795677178276,6941.82468981882,definite,60
text1261,0.0771028037383178,1.12791677959069,6798.41034151454,free,60
text1644,0.265486725663717,1.99557031571322,1520.08771242854,intentional,60
text2266,0.260869565217391,1.76930347385877,1318.52551984877,proper,58
text1785,0.584615384615385,3.33282047336671,556.213017751479,limited,57
text1057,0.129353233830846,1.29676213693992,3166.01074230836,equitable,56
text267,0.774193548387097,4.3105272486426,249.739854318418,available,55
text699,0.261261261261261,1.94635256012067,2047.72339907475,current,55
text1017,0.11731843575419,1.10988448742155,2895.97702943104,emotional,55
text1192,0.38961038961039,2.41746889207614,909.090909090909,financial,54
text1249,0.110344827586207,0.939552351223526,2320.5707491082,four,54
text2316,0.560606060606061,3.22043663518041,440.771349862259,reasonable,54
text56,0.728813559322034,3.95847085696279,295.891985061764,active,53
text1133,0.711864406779661,3.86641339517296,364.837690318874,extensive,53
text1278,0.514285714285714,3.04255531702266,546.938775510204,full,53
text1311,0.5625,3.18198051533946,820.3125,good,52
text64,0.678571428571429,3.59066249358766,503.826530612245,additional,51
text562,0.35,2.21359436211787,1603.125,conclusory,51
text946,0.127388535031847,1.1286652959662,2789.15980364315,due,51
text1094,0.23015873015873,1.82682828621126,3303.09901738473,exclusive,51
text2047,0.136125654450262,1.33027572625129,4585.67473479346,obvious,51
text17,0.205479452054795,1.75561720794196,4094.57684368549,able,50
text581,0.576271186440678,3.1299537008543,560.183855214019,confusing,50
text1188,0.0738255033557047,0.637212890999841,2066.12314760596,fifth,50
text2157,0.216216216216216,1.61077453251366,2627.22181641101,personal,50
